,City,Country,Latitude,Longitude,Max Temperature(F),Humidity,Cloudiness,Wind Speed(mph),Date
0,cabo san lucas,MX,22.89,-109.91,293.15,42.0,40.0,40.0,1578320778
1,jamestown,AU,-33.21,138.6,292.23,60.0,0.0,0.0,1578320813
2,shangzhi,CN,45.21,127.96,262.68,90.0,100.0,100.0,1578320662
3,lushunkou,,,,,,,,
4,almaznyy,RU,48.03,40.04,276.15,93.0,75.0,75.0,1578320884
5,atuona,PF,-9.8,-139.03,299.63,73.0,91.0,91.0,1578320884
6,vardo,US,39.62,-77.74,280.93,52.0,90.0,90.0,1578320884
7,bairiki,,,,,,,,
8,rikitea,PF,-23.12,-134.97,297.41,74.0,69.0,69.0,1578320662
9,taolanaro,,,,,,,,
10,arraial do cabo,BR,-22.97,-42.02,303.15,74.0,40.0,40.0,1578320863
11,meadow lake,CA,54.13,-108.44,269.15,58.0,20.0,20.0,1578320662
12,yellowknife,CA,62.45,-114.38,242.15,67.0,5.0,5.0,1578320708
13,barrow,AR,-38.31,-60.23,294.21,44.0,0.0,0.0,1578320662
14,khani,GE,41.96,42.96,285.15,34.0,56.0,56.0,1578320885
15,mar del plata,AR,-46.43,-67.52,291.99,33.0,47.0,47.0,1578320779
16,lasa,CY,34.92,32.53,290.15,67.0,75.0,75.0,1578320885
17,talnakh,RU,69.49,88.39,259.15,92.0,40.0,40.0,1578320663
18,khormuj,,,,,,,,
19,busselton,AU,-33.64,115.35,294.26,25.0,0.0,0.0,1578320885
20,chuy,UY,-33.69,-53.46,304.48,39.0,13.0,13.0,1578320873
21,sokolo,ML,14.74,-6.12,301.98,9.0,0.0,0.0,1578320886
22,caravelas,BR,-17.73,-39.27,302.38,75.0,100.0,100.0,1578320886
23,hobart,AU,-42.88,147.33,288.15,87.0,100.0,100.0,1578320886
24,bethel,US,60.79,-161.76,246.15,68.0,1.0,1.0,1578320886
25,pisco,PE,-13.71,-76.2,295.37,30.0,20.0,20.0,1578320886
26,ushuaia,AR,-54.81,-68.31,285.15,76.0,75.0,75.0,1578320775
27,sao joao da barra,BR,-21.64,-41.05,304.15,62.0,75.0,75.0,1578320886
28,mehamn,NO,71.03,27.85,271.15,86.0,75.0,75.0,1578320886
29,salinopolis,BR,-0.61,-47.36,300.58,81.0,56.0,56.0,1578320886
30,camacupa,AO,-12.02,17.48,296.78,79.0,11.0,11.0,1578320708
31,kapaa,US,22.08,-159.32,297.15,73.0,75.0,75.0,1578320626
32,deputatskiy,RU,69.3,139.9,245.81,77.0,63.0,63.0,1578320886
33,torbay,CA,47.66,-52.73,272.59,86.0,90.0,90.0,1578320873
34,leh,IN,34.16,77.58,262.63,88.0,100.0,100.0,1578320664
35,nalut,LY,31.86,10.98,285.96,53.0,27.0,27.0,1578320664
36,hofn,IS,64.25,-15.21,276.15,93.0,75.0,75.0,1578320887
37,qaanaaq,GL,77.48,-69.36,247.93,55.0,88.0,88.0,1578320887
38,kurilsk,RU,45.23,147.88,271.31,84.0,66.0,66.0,1578320887
39,vaitupu,,,,,,,,
40,shakawe,BW,-18.36,21.84,299.39,61.0,95.0,95.0,1578320887
41,hermanus,ZA,-34.42,19.24,294.82,64.0,100.0,100.0,1578320664
42,port alfred,ZA,-33.59,26.89,296.48,87.0,90.0,90.0,1578320887
43,new norfolk,AU,-42.78,147.06,288.15,87.0,100.0,100.0,1578320887
44,ponta do sol,BR,-20.63,-46.0,298.75,73.0,63.0,63.0,1578320887
45,aksu,KZ,52.04,76.93,265.15,92.0,90.0,90.0,1578320665
46,bluff,AU,-23.58,149.07,297.56,70.0,96.0,96.0,1578320888
47,mataura,NZ,-46.19,168.86,283.15,94.0,88.0,88.0,1578320665
