,City,Country,Latitude,Longitude,Max Temperature(F),Humidity,Cloudiness,Wind Speed(mph),Date
0,arawa,ID,-3.93,119.75,298.64,84,100,1.04,1578327467
1,hermanus,ZA,-34.42,19.24,293.71,68,100,0.89,1578327467
2,albany,US,42.65,-73.75,274.26,74,90,4.1,1578327399
3,arvika,SE,59.65,12.59,279.26,100,94,6.2,1578327467
4,okhotsk,RU,59.36,143.24,252.34,80,0,5.62,1578327468
5,svetlyy,,,,,,,,
6,bethel,US,60.79,-161.76,246.15,68,1,4.1,1578327468
7,filingue,NE,14.35,3.32,303.06,14,0,3.95,1578327468
8,bilibino,RU,68.06,166.44,246.78,78,0,1.13,1578327468
9,kodiak,US,39.95,-94.76,274.26,69,40,1.44,1578327468
10,ushuaia,AR,-54.81,-68.31,284.15,66,75,3.1,1578327469
11,port elizabeth,US,39.31,-74.98,282.59,49,90,4.1,1578327469
12,gondanglegi,ID,-7.75,112.01,297.49,94,100,1.59,1578327469
13,vardo,US,39.62,-77.74,282.59,45,75,9.8,1578327469
14,havoysund,NO,71,24.66,274.15,86,75,5.1,1578327469
15,jamestown,AU,-33.21,138.6,292.23,60,0,2.03,1578327469
16,codrington,AU,-28.95,153.24,295.37,83,90,0.93,1578327469
17,ixtapa,MX,20.71,-105.21,294.82,56,40,3.6,1578327434
18,saint-philippe,CA,45.36,-73.48,269.15,78,90,4.6,1578327469
19,marsa matruh,EG,31.35,27.25,285.15,66,75,6.7,1578327266
20,cerrito,CO,6.84,-72.7,298.15,61,40,2.1,1578327470
21,barentsburg,,,,,,,,
22,mataura,NZ,-46.19,168.86,282.59,93,88,3.13,1578327470
23,norman wells,CA,65.28,-126.83,232.15,72,20,1,1578327457
24,dikson,RU,73.51,80.55,263.74,94,100,6.43,1578327470
25,amapa,HN,15.09,-87.97,296.15,78,75,1,1578327470
26,mahebourg,MU,-20.41,57.7,300.15,88,75,1,1578327470
27,tabou,CI,4.42,-7.36,305.73,28,0,2.27,1578327470
28,nanortalik,GL,60.14,-45.24,262.51,74,0,19.78,1578327218
29,bredasdorp,ZA,-34.53,20.04,294.15,52,100,3.1,1578327471
30,poum,MK,41.28,20.71,272.15,42,40,5.7,1578327471
31,east london,ZA,-33.02,27.91,295.15,88,90,4.1,1578327309
32,hilo,US,19.71,-155.08,298.15,65,90,3.6,1578327471
33,sao filipe,CV,14.9,-24.5,296.05,57,31,10.78,1578327471
34,kyren,RU,51.68,102.13,258.78,52,0,3.13,1578327471
35,korla,,,,,,,,
36,touba,SN,14.86,-15.88,303.15,17,0,3.1,1578327471
37,chuy,UY,-33.69,-53.46,304.48,39,13,5.93,1578327226
38,saint-pierre,FR,48.95,4.24,278.15,86,0,6.7,1578327471
39,atuona,PF,-9.8,-139.03,299.63,73,91,6.62,1578327472
40,cabanas,BR,-8.41,-36.34,303.3,38,100,2.94,1578327472
41,cumpas,MX,30,-109.78,283.26,43,0,1.58,1578327472
42,yellowknife,CA,62.45,-114.38,240.15,67,20,2.6,1578327316
43,barrow,AR,-38.31,-60.23,294.21,44,0,9.53,1578327472
44,puerto ayora,EC,-0.74,-90.35,301.15,69,75,6.7,1578327472
45,svetlaya,RU,46.54,138.33,269.06,59,0,1.94,1578327472
46,cap malheureux,MU,-19.98,57.61,300.15,88,75,1,1578327472
47,rikitea,PF,-23.12,-134.97,297.41,74,69,6.2,1578327472
48,hervey bay,AU,-25.3,152.85,297.59,83,40,2.6,1578327472
49,saleaula,,,,,,,,
50,samusu,,,,,,,,
51,tasiilaq,GL,65.61,-37.64,265.34,84,97,16.37,1578327473
52,valle de allende,MX,26.94,-105.39,284.34,32,93,0.99,1578327473
53,terrasini,IT,38.15,13.08,287.04,59,20,7.2,1578327473
54,saldanha,PT,41.42,-6.55,281.88,60,100,1.43,1578327473
55,chokurdakh,RU,70.62,147.9,244.35,99,0,1.1,1578327473
56,carutapera,BR,-1.2,-46.02,300.57,81,21,5.73,1578327473
57,belushya guba,,,,,,,,
58,carnarvon,ZA,-30.97,22.13,304.25,11,89,9.4,1578327474
59,victoria,BN,5.28,115.24,301.15,78,75,5.1,1578327398
60,kamenka,MD,48.03,28.7,272.04,69,58,3.27,1578327474
61,port alfred,ZA,-33.59,26.89,294.82,93,90,1.34,1578327474
62,sertania,BR,-8.07,-37.26,306.04,36,86,2.65,1578327474
63,buta,CD,2.79,24.73,308.18,26,100,1.34,1578327474
64,punta arenas,CL,-53.16,-70.91,287.15,62,40,7.7,1578327474
65,tiksi,RU,71.64,128.87,250.49,85,83,2.86,1578327474
66,bogovarovo,RU,58.98,47.02,259.77,90,3,1.45,1578327475
67,viligili,,,,,,,,
68,husavik,CA,50.56,-96.99,264.26,95,13,3.13,1578327475
69,constitucion,MX,23.99,-104.67,282.04,56,40,0.36,1578327475
70,puerto leguizamo,CO,-0.19,-74.78,303.06,54,21,2.99,1578327475
71,balabac,PH,7.99,117.06,300.08,81,14,5.83,1578327475
72,hofn,IS,64.25,-15.21,276.15,86,20,3.6,1578327475
73,saint-denis,FR,48.94,2.36,280.37,70,5,6.2,1578327475
74,cairns,AU,-16.92,145.77,299.26,83,40,3.1,1578327475
75,busselton,AU,-33.64,115.35,293.15,25,0,5.53,1578327475
76,douentza,ML,15.01,-2.95,300.62,10,81,3.34,1578327476
77,qaanaaq,GL,77.48,-69.36,247.93,55,88,2.6,1578327476
78,dzhusaly,,,,,,,,
79,mys shmidta,,,,,,,,
80,taolanaro,,,,,,,,
81,grand-santi,GF,4.27,-54.38,303.61,54,92,1.87,1578327476
82,saint george,GR,39.45,22.34,280.93,39,40,5.7,1578327202
83,cape town,ZA,-33.93,18.42,294.82,60,100,9.8,1578327362
84,hobart,AU,-42.88,147.33,288.15,82,100,2.6,1578327223
85,avarua,CK,-21.21,-159.78,298.15,100,29,0.5,1578327476
86,sorong,ID,-0.86,131.25,297.11,95,100,1.12,1578327476
87,broken hill,AU,-31.97,141.45,293.15,60,0,4.6,1578327477
88,turukhansk,RU,65.8,87.96,262.01,97,100,2.26,1578327477
89,nuuk,GL,64.17,-51.74,255.15,84,90,5.1,1578327477
90,semnan,IR,35.58,53.39,278.14,61,0,0.89,1578327477
91,sorland,NO,67.67,12.69,279.15,93,90,10.8,1578327477
92,vaitupu,,,,,,,,
93,nouadhibou,MR,20.93,-17.03,297.15,19,100,6.7,1578327443
94,thompson,CA,55.74,-97.86,253.15,83,90,0.32,1578327477
95,plettenberg bay,ZA,-34.05,23.37,291.85,87,100,3.66,1578327302
96,makakilo city,US,21.35,-158.09,298.15,78,75,6.58,1578327427
97,cabo san lucas,MX,22.89,-109.91,294.82,59,40,2.6,1578327288
98,lagoa,PT,37.14,-8.45,290.93,59,0,4.1,1578327478
99,lebu,ET,8.96,38.73,290.15,59,20,6.2,1578327478
100,butaritari,KI,3.07,172.79,302.07,80,100,7,1578327478
101,zarautz,ES,43.28,-2.17,287.04,71,40,2.1,1578327478
102,ngaoundere,CM,7.32,13.58,302.15,25,33,4.1,1578327478
103,bokoro,,,,,,,,
104,tuktoyaktuk,CA,69.44,-133.03,243.15,74,40,3.6,1578327499
105,san cristobal,HN,14.68,-86.92,290.14,82,98,2.7,1578327499
106,caravelas,BR,-17.73,-39.27,302.38,75,100,4.36,1578327499
107,nioro,GM,13.79,-15.05,305.23,6,33,5.88,1578327500
108,fortuna,US,40.6,-124.16,277.04,100,40,4.6,1578327492
109,kapaa,US,22.08,-159.32,297.15,83,75,9.8,1578327500
110,san juan,AR,-31.54,-68.53,298.17,18,27,4.4,1578327500
111,new norfolk,AU,-42.78,147.06,288.15,82,100,2.6,1578327500
112,kaitangata,NZ,-46.28,169.85,283.71,84,100,3.13,1578327500
113,gorontalo,ID,0.54,123.06,296,95,100,1.68,1578327429
114,bambous virieux,MU,-20.34,57.76,300.15,88,75,1,1578327500
115,koppal,IN,15.35,76.15,296.12,73,13,4.05,1578327500
116,kandrian,PG,-6.21,149.55,297.01,94,93,0.95,1578327500
117,sibolga,ID,1.74,98.78,295.59,95,94,1.19,1578327500
118,bluff,AU,-23.58,149.07,297.56,70,96,5.65,1578327500
119,cidreira,BR,-30.17,-50.22,297.11,84,0,6.64,1578327501
120,mandera,ET,3.94,41.86,308.98,30,56,3.53,1578327501
121,vaini,IN,15.34,74.49,294.58,78,40,2.25,1578327501
122,ormara,PK,25.21,64.64,296.22,60,0,2.72,1578327501
123,bolungarvik,,,,,,,,
124,mayo,CA,63.59,-135.9,236.15,65,5,1.08,1578327501
125,marcona,,,,,,,,
126,houma,CN,35.63,111.36,274.46,96,100,1.5,1578327501
127,punta alta,AR,-27.46,-55.82,307.15,46,20,5.7,1578327501
128,sisimiut,GL,66.94,-53.67,247.79,95,100,2.55,1578327443
129,longyearbyen,NO,78.22,15.63,260.15,55,20,8.7,1578327501
130,cherskiy,RU,68.75,161.3,247.76,65,0,2.36,1578327501
